/usr/bin/ld: skipping incompatible /usr/lib/libpthread.so when searching for -lpthread
/usr/bin/ld: skipping incompatible /usr/lib/libc.so when searching for -lc
Sparce Mat. Transpose, procs: 5
Matrix: 0, Avg. Time: 0.005666 seconds
Matrix: 1, Avg. Time: 0.000023 seconds
Matrix: 2, Avg. Time: 0.000054 seconds
Matrix: 3, Avg. Time: 0.035764 seconds
Matrix: 4, Avg. Time: 0.000129 seconds
Matrix: 5, Avg. Time: 0.000130 seconds
Matrix: 6, Avg. Time: 0.000132 seconds
Matrix: 7, Avg. Time: 0.000134 seconds
Matrix: 8, Avg. Time: 0.000137 seconds
Matrix: 9, Avg. Time: 0.000138 seconds
Matrix: 10, Avg. Time: 0.001841 seconds
Matrix: 11, Avg. Time: 0.003990 seconds
Matrix: 12, Avg. Time: 0.005721 seconds
Matrix: 13, Avg. Time: 0.009105 seconds
Matrix: 14, Avg. Time: 0.012375 seconds
Matrix: 15, Avg. Time: 0.014746 seconds
Matrix: 16, Avg. Time: 0.017989 seconds
Matrix: 17, Avg. Time: 0.020728 seconds
Matrix: 18, Avg. Time: 0.018936 seconds
