/usr/bin/ld: skipping incompatible /usr/lib/libpthread.so when searching for -lpthread
/usr/bin/ld: skipping incompatible /usr/lib/libc.so when searching for -lc
Sparce Mat. Transpose, procs: 1
Matrix: 0, Avg. Time: 0.000004 seconds
Matrix: 1, Avg. Time: 0.000022 seconds
Matrix: 2, Avg. Time: 0.000062 seconds
Matrix: 3, Avg. Time: 0.000134 seconds
Matrix: 4, Avg. Time: 0.000164 seconds
Matrix: 5, Avg. Time: 0.000164 seconds
Matrix: 6, Avg. Time: 0.000163 seconds
Matrix: 7, Avg. Time: 0.000163 seconds
Matrix: 8, Avg. Time: 0.000164 seconds
Matrix: 9, Avg. Time: 0.000164 seconds
Matrix: 10, Avg. Time: 0.002113 seconds
Matrix: 11, Avg. Time: 0.004572 seconds
Matrix: 12, Avg. Time: 0.007921 seconds
Matrix: 13, Avg. Time: 0.012008 seconds
Matrix: 14, Avg. Time: 0.016094 seconds
Matrix: 15, Avg. Time: 0.019664 seconds
Matrix: 16, Avg. Time: 0.023142 seconds
Matrix: 17, Avg. Time: 0.026661 seconds
Matrix: 18, Avg. Time: 0.027546 seconds
