/usr/bin/ld: skipping incompatible /usr/lib/libpthread.so when searching for -lpthread
/usr/bin/ld: skipping incompatible /usr/lib/libc.so when searching for -lc
Sparce Mat. Transpose, procs: 10
Matrix: 0, Avg. Time: 0.008979 seconds
Matrix: 1, Avg. Time: 0.009065 seconds
Matrix: 2, Avg. Time: 0.009261 seconds
Matrix: 3, Avg. Time: 0.000098 seconds
Matrix: 4, Avg. Time: 0.000132 seconds
Matrix: 5, Avg. Time: 0.000133 seconds
Matrix: 6, Avg. Time: 0.019044 seconds
Matrix: 7, Avg. Time: 0.000136 seconds
Matrix: 8, Avg. Time: 0.000138 seconds
Matrix: 9, Avg. Time: 0.000141 seconds
Matrix: 10, Avg. Time: 0.001901 seconds
Matrix: 11, Avg. Time: 0.013924 seconds
Matrix: 12, Avg. Time: 0.020304 seconds
Matrix: 13, Avg. Time: 0.009168 seconds
Matrix: 14, Avg. Time: 0.012340 seconds
Matrix: 15, Avg. Time: 0.014647 seconds
Matrix: 16, Avg. Time: 0.018031 seconds
Matrix: 17, Avg. Time: 0.017322 seconds
Matrix: 18, Avg. Time: 0.022864 seconds
