/usr/bin/ld: skipping incompatible /usr/lib/libpthread.so when searching for -lpthread
/usr/bin/ld: skipping incompatible /usr/lib/libc.so when searching for -lc
Dense Mat. Transpose, procs: 1
Matrix: 0, Avg. Time: 0.000721 seconds
Matrix: 1, Avg. Time: 0.000610 seconds
Matrix: 2, Avg. Time: 0.000508 seconds
Matrix: 3, Avg. Time: 0.000470 seconds
Matrix: 4, Avg. Time: 0.000466 seconds
Matrix: 5, Avg. Time: 0.000468 seconds
Matrix: 6, Avg. Time: 0.000463 seconds
Matrix: 7, Avg. Time: 0.000462 seconds
Matrix: 8, Avg. Time: 0.000463 seconds
Matrix: 9, Avg. Time: 0.000463 seconds
Matrix: 10, Avg. Time: 0.054199 seconds
Matrix: 11, Avg. Time: 0.054291 seconds
Matrix: 12, Avg. Time: 0.054238 seconds
Matrix: 13, Avg. Time: 0.054239 seconds
Matrix: 14, Avg. Time: 0.054244 seconds
Matrix: 15, Avg. Time: 0.054304 seconds
Matrix: 16, Avg. Time: 0.054245 seconds
Matrix: 17, Avg. Time: 0.054228 seconds
Matrix: 18, Avg. Time: 0.054103 seconds
